,Unnamed: 0,CaseID,ActivityID,CompleteTimestamp
0,0,200000004900001,10,2018-03-05 10:52:00
1,1,200000004900001,11,2018-03-09 17:17:00
2,2,200000004900001,12,2018-05-09 14:10:00
3,3,200000004900001,1,2019-01-06 13:29:00
4,4,200000004900001,7,2019-01-06 14:29:00
5,5,200000004900001,2,2019-01-06 14:29:00
6,6,200000004900001,5,2019-01-06 14:29:00
7,7,200000004900001,6,2019-01-06 14:29:00
8,8,200000004900001,3,2019-01-06 14:29:00
9,9,200000004900001,8,2019-01-06 14:29:00
10,10,200000004900001,4,2019-01-06 14:29:00
11,11,200000004900001,9,2020-02-04 23:59:00
12,12,200001350500001,10,2018-06-01 14:11:00
13,13,200001350500001,11,2019-06-06 09:58:00
14,14,200001350500001,9,2020-04-01 23:59:00
15,15,200001350500001,12,2020-06-04 14:02:00
16,16,200001350500001,1,2020-03-05 14:28:00
17,17,200001350500001,2,2020-03-05 16:28:00
18,18,200001350500001,6,2020-03-05 16:28:00
19,19,200001350500001,7,2020-03-05 16:28:00
20,20,200001350500001,3,2020-03-05 16:28:00
21,21,200001350500001,4,2020-03-05 16:28:00
22,22,200001350500001,5,2020-03-05 16:28:00
23,23,200001350500001,8,2020-03-05 16:29:00
24,24,200001358700001,9,2018-05-01 23:59:00
25,25,200001358700001,10,2018-05-08 09:47:00
26,26,200001358700001,11,2018-05-09 10:25:00
27,27,200001358700001,1,2019-04-12 15:51:00
28,28,200001358700001,4,2019-04-12 17:51:00
29,29,200001358700001,3,2019-04-12 17:51:00
30,30,200001358700001,5,2019-04-12 17:51:00
31,31,200001358700001,2,2019-04-12 17:51:00
32,32,200001358700001,6,2019-04-12 17:51:00
33,33,200001358700001,7,2019-04-12 17:52:00
34,34,200001358700001,8,2019-04-12 17:52:00
35,35,200001358700001,12,2019-05-12 13:34:00
36,36,200001359600001,10,2019-07-12 07:55:00
37,37,200001359600001,13,2019-07-12 09:56:00
38,38,200001359600001,11,2019-07-12 09:56:00
39,39,200001359600001,12,2019-07-12 09:56:00
40,40,200001359600001,15,2019-07-12 11:24:00
41,41,200001359600001,14,2019-07-12 11:24:00
42,42,200001359600001,16,2019-07-12 11:25:00
43,43,200001359600001,17,2019-07-12 11:25:00
44,44,200001359600001,18,2019-07-12 11:57:00
45,45,200001359600001,19,2019-07-12 11:57:00
46,46,200001359600001,20,2019-07-12 12:50:00
47,47,200001359600001,9,2020-05-01 23:59:00
48,48,200001359600001,1,2020-04-02 07:51:00
49,49,200001359600001,6,2020-04-02 09:51:00
50,50,200001359600001,2,2020-04-02 09:51:00
51,51,200001359600001,3,2020-04-02 09:51:00
52,52,200001359600001,8,2020-04-02 09:51:00
53,53,200001359600001,5,2020-04-02 09:51:00
54,54,200001359600001,4,2020-04-02 09:51:00
55,55,200001359600001,7,2020-04-02 09:51:00
56,56,200001359600001,21,2020-07-02 18:09:00
57,57,200001364300001,9,2018-06-05 23:59:00
58,58,200001364300001,10,2018-06-06 10:42:00
59,59,200001364300001,11,2018-06-06 10:42:00
60,60,200001364300001,12,2018-07-11 15:57:00
61,61,200001364300001,1,2019-05-04 15:03:00
62,62,200001364300001,2,2019-05-04 17:03:00
63,63,200001364300001,3,2019-05-04 17:03:00
64,64,200001364300001,7,2019-05-04 17:03:00
65,65,200001364300001,6,2019-05-04 17:03:00
66,66,200001364300001,4,2019-05-04 17:03:00
67,67,200001364300001,8,2019-05-04 17:03:00
68,68,200001364300001,5,2019-05-04 17:03:00
69,69,200001364300001,13,2020-07-02 18:09:00
70,70,200001365300001,10,2018-08-02 08:58:00
71,71,200001365300001,11,2018-08-02 11:35:00
72,72,200001365300001,1,2019-05-06 14:13:00
73,73,200001365300001,3,2019-05-06 16:13:00
74,74,200001365300001,2,2019-05-06 16:13:00
75,75,200001365300001,4,2019-05-06 16:13:00
76,76,200001365300001,6,2019-05-06 16:14:00
77,77,200001365300001,5,2019-05-06 16:14:00
78,78,200001365300001,7,2019-05-06 16:14:00
79,79,200001365300001,8,2019-05-06 16:14:00
80,80,200001365300001,9,2019-05-12 23:59:00
81,81,200001365300001,12,2020-08-06 15:38:00
82,82,200003345500001,1,2018-06-06 07:27:00
83,83,200003345500001,3,2018-06-06 09:27:00
84,84,200003345500001,4,2018-06-06 09:27:00
85,85,200003345500001,2,2018-06-06 09:27:00
86,86,200003345500001,7,2018-06-06 09:28:00
87,87,200003345500001,6,2018-06-06 09:28:00
88,88,200003345500001,8,2018-06-06 09:28:00
89,89,200003345500001,5,2018-06-06 09:28:00
