CaseID,ActivityID,CompleteTimestamp
173688,3,2011-10-01 19:45:00
173688,5,2011-10-01 20:17:00
173688,5,2011-10-09 00:32:00
173688,5,2011-10-10 19:33:00
173688,6,2011-10-13 18:37:00
173691,3,2011-10-01 19:43:00
173691,3,2011-10-01 22:35:00
173691,5,2011-10-01 22:36:00
173691,5,2011-10-04 00:56:00
173691,5,2011-10-04 00:57:00
173691,5,2011-10-10 18:14:00
173691,6,2011-10-10 19:30:00
173691,6,2011-10-10 22:14:00
173691,6,2011-10-10 22:17:00
173694,3,2011-10-01 19:35:00
173694,3,2011-10-03 19:21:00
173694,3,2011-10-03 21:32:00
173694,3,2011-10-03 21:40:00
173694,5,2011-10-03 21:44:00
173694,5,2011-10-11 00:47:00
173694,5,2011-10-11 03:34:00
173694,5,2011-10-15 02:16:00
173694,5,2011-10-18 03:43:00
173694,5,2011-10-25 18:50:00
173694,5,2011-10-27 02:50:00
173694,5,2011-10-29 20:41:00
173694,5,2011-11-01 23:55:00
173694,5,2011-11-02 02:21:00
173694,5,2011-11-02 18:15:00
173694,6,2011-11-05 01:05:00
173703,3,2011-10-01 19:40:00
173703,3,2011-10-01 21:02:00
173706,1,2011-10-01 18:16:00
173706,3,2011-10-01 19:50:00
173706,3,2011-10-01 19:53:00
173706,3,2011-10-01 23:00:00
173709,3,2011-10-01 18:27:00
173709,3,2011-10-01 19:43:00
173709,3,2011-10-11 01:43:00
173709,3,2011-11-01 18:15:00
173712,1,2011-10-01 18:10:00
173712,3,2011-10-01 21:03:00
173712,3,2011-10-03 19:17:00
173712,3,2011-10-03 22:42:00
173715,3,2011-10-01 19:46:00
173715,3,2011-10-01 20:30:00
173715,5,2011-10-09 00:38:00
173715,5,2011-10-10 20:54:00
173715,6,2011-10-13 19:05:00
173718,3,2011-10-01 18:44:00
173718,5,2011-10-01 18:44:00
173718,5,2011-10-01 18:46:00
173718,5,2011-10-01 18:50:00
173718,5,2011-10-01 18:50:00
173718,5,2011-10-09 00:31:00
173718,5,2011-10-10 18:55:00
173718,6,2011-10-13 20:36:00
173718,4,2011-10-13 21:05:00
173718,4,2011-10-13 21:53:00
173718,4,2011-10-14 01:12:00
173718,4,2011-10-14 01:14:00
173718,4,2011-10-14 01:14:00
173718,4,2011-10-15 23:17:00
173718,4,2011-10-16 00:56:00
173718,4,2011-10-17 21:32:00
173718,4,2011-10-17 22:28:00
173718,4,2011-10-19 00:46:00
173718,4,2011-10-19 01:46:00
173718,6,2011-10-19 16:53:00
173718,4,2011-10-19 17:17:00
173718,4,2011-10-19 17:24:00
173718,4,2011-10-20 17:30:00
173718,4,2011-10-24 23:24:00
173718,4,2011-10-26 16:12:00
173718,6,2011-10-27 17:18:00
173721,3,2011-10-01 19:20:00
173721,5,2011-10-01 19:22:00
173721,5,2011-10-01 19:32:00
173721,5,2011-10-04 22:47:00
173721,5,2011-10-06 17:49:00
173721,6,2011-10-10 18:06:00
173721,4,2011-10-10 18:20:00
173721,4,2011-10-10 19:42:00
173721,4,2011-10-10 22:22:00
173721,4,2011-10-11 00:28:00
173724,1,2011-10-01 20:12:00
173724,1,2011-10-01 20:20:00
173724,3,2011-10-01 21:27:00
173724,3,2011-10-01 22:02:00
173724,3,2011-10-01 23:15:00
173724,3,2011-10-03 19:33:00
173724,3,2011-10-03 23:48:00
173730,3,2011-10-01 21:55:00
173730,3,2011-10-01 23:15:00
173730,3,2011-10-01 23:31:00
173730,3,2011-10-01 23:40:00
173730,5,2011-10-01 23:48:00
173730,5,2011-10-09 00:20:00
173730,5,2011-10-11 04:49:00
173730,5,2011-10-11 18:47:00
173730,5,2011-10-12 03:55:00
173730,5,2011-10-12 23:37:00
173730,5,2011-10-14 02:35:00
173730,5,2011-10-14 18:21:00
173730,6,2011-10-19 21:20:00
173730,4,2011-10-19 21:32:00
173730,4,2011-10-19 21:36:00
173730,4,2011-10-20 03:11:00
173730,4,2011-10-20 16:10:00
173730,6,2011-10-20 18:08:00
173730,4,2011-10-20 18:27:00
173730,4,2011-10-20 18:45:00
173730,6,2011-10-20 20:00:00
173730,4,2011-10-20 20:32:00
173730,4,2011-10-20 21:52:00
173730,4,2011-10-21 00:25:00
173730,6,2011-10-21 14:15:00
173730,6,2011-10-21 17:05:00
173730,6,2011-10-21 17:08:00
173733,1,2011-10-01 22:54:00
173736,3,2011-10-01 23:40:00
173736,3,2011-10-01 23:55:00
173736,3,2011-10-02 00:05:00
173736,5,2011-10-04 20:59:00
173736,5,2011-10-10 21:34:00
173736,6,2011-10-13 18:49:00
173736,4,2011-10-13 19:03:00
173736,4,2011-10-13 19:06:00
173736,4,2011-10-13 19:08:00
173736,4,2011-10-13 19:36:00
173736,4,2011-10-13 20:16:00
173736,4,2011-10-18 18:20:00
173736,6,2011-10-18 20:01:00
173739,3,2011-10-01 23:27:00
173739,3,2011-10-01 23:42:00
173739,3,2011-10-01 23:56:00
173739,5,2011-10-02 00:00:00
173739,5,2011-10-08 23:32:00
173739,5,2011-10-11 18:19:00
173739,6,2011-10-13 21:12:00
173739,6,2011-10-13 23:04:00
173739,4,2011-10-14 04:01:00
173739,4,2011-10-14 18:06:00
173739,4,2011-10-14 21:19:00
173739,4,2011-10-14 21:37:00
173739,4,2011-10-14 22:05:00
173739,4,2011-10-14 23:49:00
173739,6,2011-10-15 00:22:00
173742,1,2011-10-01 22:56:00
173742,3,2011-10-01 23:50:00
173742,3,2011-10-03 20:56:00
173742,3,2011-10-03 23:55:00
173742,3,2011-10-04 19:35:00
173742,3,2011-10-04 21:26:00
173742,3,2011-10-05 01:27:00
173742,3,2011-10-05 17:32:00
173742,3,2011-10-05 21:28:00
173742,3,2011-10-06 02:14:00
173742,3,2011-10-06 02:53:00
173742,3,2011-10-06 18:00:00
173742,3,2011-10-07 04:54:00
173742,3,2011-10-08 02:34:00
173742,3,2011-10-08 18:51:00
173742,3,2011-10-08 19:30:00
173742,3,2011-10-14 23:52:00
173745,1,2011-10-01 23:21:00
173745,3,2011-10-01 23:58:00
173745,5,2011-10-08 20:45:00
173748,1,2011-10-01 23:24:00
173748,3,2011-10-01 23:57:00
173748,3,2011-10-01 23:57:00
173748,3,2011-10-02 00:00:00
173748,3,2011-10-02 00:09:00
173748,3,2011-10-02 00:37:00
173748,5,2011-10-02 00:39:00
173748,5,2011-10-02 00:42:00
173748,5,2011-10-02 00:48:00
173748,5,2011-10-04 00:44:00
173751,3,2011-10-01 23:34:00
173751,3,2011-10-02 00:50:00
173751,5,2011-10-07 20:40:00
173751,6,2011-10-11 18:39:00
173754,3,2011-10-01 23:44:00
173754,3,2011-10-02 00:00:00
173754,3,2011-10-03 20:57:00
173754,3,2011-10-04 17:28:00
173754,3,2011-10-04 21:23:00
173754,3,2011-10-05 01:57:00
173754,3,2011-10-05 17:52:00
173754,3,2011-10-05 21:52:00
173754,3,2011-10-06 02:39:00
173754,3,2011-10-06 17:59:00
173754,3,2011-10-07 17:18:00
173754,3,2011-10-08 02:41:00
173754,3,2011-10-08 19:12:00
173754,3,2011-10-14 21:51:00
173754,3,2011-10-14 21:52:00
173754,3,2011-10-14 22:26:00
173754,2,2011-10-14 22:26:00
173754,2,2011-10-14 22:28:00
173760,3,2011-10-02 00:01:00
173760,5,2011-10-08 20:34:00
173760,5,2011-10-11 03:52:00
173760,5,2011-10-11 19:01:00
173760,6,2011-10-14 23:41:00
173763,1,2011-10-02 00:38:00
173766,3,2011-10-02 00:45:00
173766,3,2011-10-02 00:48:00
173766,3,2011-10-03 21:48:00
173766,3,2011-10-04 17:34:00
173766,3,2011-10-04 21:11:00
173766,3,2011-10-05 01:17:00
173766,3,2011-10-05 17:20:00
173766,3,2011-10-05 18:42:00
173766,3,2011-10-05 22:05:00
173766,3,2011-10-06 02:50:00
173766,3,2011-10-06 17:58:00
173766,3,2011-10-07 04:52:00
173775,3,2011-10-03 17:20:00
173775,3,2011-10-03 18:38:00
173778,1,2011-10-03 17:04:00
173781,3,2011-10-03 17:25:00
173784,3,2011-10-03 17:19:00
173784,3,2011-10-03 22:36:00
173784,3,2011-10-04 18:01:00
173784,3,2011-10-04 21:41:00
173784,3,2011-10-05 01:15:00
173784,3,2011-10-05 01:15:00
173784,3,2011-10-05 01:19:00
173784,3,2011-10-05 01:37:00
173784,5,2011-10-12 04:42:00
173784,5,2011-10-13 00:47:00
173784,5,2011-10-14 02:50:00
173784,5,2011-10-17 19:29:00
173784,6,2011-10-19 21:25:00
173784,4,2011-10-19 22:41:00
173784,4,2011-10-20 03:37:00
173784,4,2011-10-20 17:29:00
173784,4,2011-10-22 02:57:00
173784,4,2011-10-24 18:35:00
173784,4,2011-10-27 22:09:00
173784,4,2011-10-28 15:50:00
173784,6,2011-10-28 17:50:00
173784,4,2011-10-28 19:54:00
173784,4,2011-10-28 20:35:00
173784,6,2011-10-31 18:38:00
173784,6,2011-10-31 20:18:00
173784,4,2011-11-01 00:36:00
173784,4,2011-11-01 05:37:00
173784,4,2011-11-01 23:19:00
173784,4,2011-11-02 00:13:00
173784,4,2011-11-03 17:38:00
173784,4,2011-11-04 01:28:00
173784,4,2011-11-04 02:15:00
173784,4,2011-11-05 20:18:00
173784,4,2011-11-05 23:46:00
173784,4,2011-11-07 18:33:00
173784,4,2011-11-07 23:39:00
173784,4,2011-11-08 00:09:00
173784,4,2011-11-09 05:37:00
173784,4,2011-11-10 20:20:00
173784,4,2011-11-11 18:30:00
173784,6,2011-11-11 19:25:00
173784,6,2011-11-15 21:28:00
173784,6,2011-11-15 21:50:00
173787,3,2011-10-03 17:31:00
173787,5,2011-10-03 17:36:00
173787,5,2011-10-03 17:39:00
173787,5,2011-10-03 17:54:00
173787,5,2011-10-10 23:10:00
173787,5,2011-10-11 03:59:00
173787,5,2011-10-11 04:55:00
173787,5,2011-10-18 19:49:00
173787,5,2011-10-20 02:51:00
173790,3,2011-10-03 17:26:00
173790,5,2011-10-03 17:31:00
173790,5,2011-10-03 17:32:00
173790,5,2011-10-07 20:37:00
173790,6,2011-10-08 01:31:00
173790,6,2011-10-10 22:22:00
173793,3,2011-10-03 17:29:00
173793,3,2011-10-03 22:53:00
173793,5,2011-10-03 22:58:00
173793,5,2011-10-11 01:48:00
173793,5,2011-10-14 18:08:00
